,repository,file,page,abstracted_page
0,vuejs/vue,Contributor-Code-of-Conduct.md,contributor code of conduct,contributor code of conduct
1,vuejs/vue,Governance-Document.md,governance document,governance document
2,TheAlgorithms/Python,Sorting-Algorithms.md,sorting algorithms,sort algorithm
3,awesome-selfhosted/awesome-selfhosted,Labels.md,labels,label
4,denoland/deno,Home.md,home,home
5,nvbn/thefuck,Shell-aliases.md,shell aliases,shell alias
6,nvbn/thefuck,Troubleshooting.md,troubleshooting,troubleshoot
7,FortAwesome/Font-Awesome,Troubleshooting.md,troubleshooting,troubleshoot
8,FortAwesome/Font-Awesome,Font-Awesome-HTML-Dropdown-Select-List.md,font awesome html dropdown select list,@PROJECT html dropdown select list
9,FortAwesome/Font-Awesome,Customize-Font-Awesome.md,customize font awesome,customize @PROJECT
10,FortAwesome/Font-Awesome,Home.md,home,home
11,FortAwesome/Font-Awesome,Merge-FontAwesome-with-any-other-font.md,merge font awesome with any other font,merge @PROJECT with any other font
12,FortAwesome/Font-Awesome,Upgrading-from-3.2.1-to-4.md,upgrading from 321 to 4,upgrade from @NUMBER to @NUMBER
13,FortAwesome/Font-Awesome,Layering-and-Masking-snippets.md,layering and masking snippets,layer and mask snippet
14,papers-we-love/papers-we-love,Organizer-resources.md,organizer resources,organizer resource
15,papers-we-love/papers-we-love,Past-Presentations.md,past presentations,past presentation
16,hakimel/reveal.js,Example-Presentations.md,example presentations,example presentation
17,hakimel/reveal.js,Articles-&-Tutorials.md,articles tutorials,article tutorial
18,hakimel/reveal.js,"Plugins,-Tools-and-Hardware.md",plugins tools and hardware,plugins tool and hardware
19,expressjs/express,Migrating-from-3.x-to-4.x.md,migrating from 3x to 4x,migrate from @NUMBER to @NUMBER
20,expressjs/express,Home.md,home,home
21,expressjs/express,New-features-in-3.x.md,new features in 3x,new feature in @NUMBER
22,expressjs/express,README-template.md,readme template,@README
23,expressjs/express,ESON-JSON-Configuration.md,eson json configuration,eson json configuration
24,expressjs/express,Migrating-from-2.x-to-3.x.md,migrating from 2x to 3x,migrate from @NUMBER to @NUMBER
25,expressjs/express,New-features-in-4.x.md,new features in 4x,new feature in @NUMBER
26,adam-p/markdown-here,Other-Markdown-Tools.md,other markdown tools,other markdown tool
27,adam-p/markdown-here,Markdown-Cheatsheet.md,markdown cheatsheet,markdown cheatsheet
28,adam-p/markdown-here,Development-Notes.md,development notes,development note
29,adam-p/markdown-here,Troubleshooting.md,troubleshooting,troubleshoot
30,adam-p/markdown-here,Markdown-Here-Cheatsheet.md,markdown here cheatsheet,@PROJECT cheatsheet
31,adam-p/markdown-here,Compatibility.md,compatibility,compatibility
32,adam-p/markdown-here,Tips-and-Tricks.md,tips and tricks,tip and trick
33,adam-p/markdown-here,"Press,-Posts,-Reviews,-Etc..md",press posts reviews etc,press post review etc
34,keras-team/keras,Keras-2.0-release-notes.md,keras 20 release notes,@PROJECT @NUMBER release note
35,keras-team/keras,Understanding-parallelism-in-Keras.md,understanding parallelism in keras,understand parallelism in @PROJECT
36,keras-team/keras,Converting-convolution-kernels-from-Theano-to-TensorFlow-and-vice-versa.md,converting convolution kernels from theano to tensor flow and vice versa,convert convolution kernel from theano to tensor flow and vice versa
37,protocolbuffers/protobuf,Home.md,home,home
38,shadowsocks/shadowsocks-windows,Troubleshooting.md,troubleshooting,troubleshoot
39,shadowsocks/shadowsocks-windows,Working-with-non-SIP003-standard-Plugin.md,working with non sip003 standard plugin,work with non @NON_ENGLISH standard plugin
40,lodash/lodash,Resources.md,resources,resource
41,lodash/lodash,Deprecations.md,deprecations,deprecation
42,lodash/lodash,Changelog.md,changelog,changelog
43,lodash/lodash,Roadmap.md,roadmap,roadmap
44,lodash/lodash,FP-Guide.md,fp guide,fp guide
45,lodash/lodash,Migrating.md,migrating,migrate
46,lodash/lodash,Build-Differences.md,build differences,build difference
47,h5bp/html5-boilerplate,history.md,history,history
48,apache/echarts,How-to-make-a-pull-request.md,how to make a pull request,how to make a pull request
49,apache/echarts,How-to-setup-the-dev-environment.md,how to setup the dev environment,how to setup the dev environment
50,Semantic-Org/Semantic-UI,Unofficial-Supplemental-Guide-to-Semantic-UI.md,unofficial supplemental guide to semantic ui,unofficial supplemental guide to @PROJECT
51,Semantic-Org/Semantic-UI,Showcase.md,showcase,showcase
52,Semantic-Org/Semantic-UI,Translating-Semantic-UI-Docs.md,translating semantic ui docs,translate @PROJECT doc
53,psf/requests,Cookbook.md,cookbook,cookbook
54,ionic-team/ionic-framework,Button-States.md,button states,button state
55,ionic-team/ionic-framework,Accessibility.md,accessibility,accessibility
56,ionic-team/ionic-framework,RTL.md,rtl,rtl
57,ionic-team/ionic-framework,Utilities.md,utilities,utility
58,ionic-team/ionic-framework,_Sidebar.md,sidebar,sidebar
59,3b1b/manim,Anatomy-of-manim.md,anatomy of manim,anatomy of @PROJECT
60,3b1b/manim,Install-on-Linux-Fedora-29.md,install on linux fedora 29,install on linux fedora @NUMBER
61,3b1b/manim,Parameters-for-exporting.md,parameters for exporting,parameter for export
62,syncthing/syncthing,Brainstorm-Discussion-notes.md,brainstorm discussion notes,brainstorm discussion note
63,syncthing/syncthing,Syncing-extended-attributes.md,syncing extended attributes,sync extend attribute
64,syncthing/syncthing,In-Place-Updates.md,in place updates,in place update
65,syncthing/syncthing,Configuration.md,configuration,configuration
66,syncthing/syncthing,Untrusted-devices-(encryption)-status.md,untrusted devices encryption status,untrusted device encryption status
67,syncthing/syncthing,Crypto-Proposal.md,crypto proposal,crypto proposal
68,syncthing/syncthing,Filesystem-Case-Sensitivity.md,filesystem case sensitivity,filesystem case sensitivity
69,ageitgey/face_recognition,Face-Detection-Problems.md,face detection problems,face detection problem
70,ageitgey/face_recognition,Face-Recognition-Accuracy-Problems.md,face recognition accuracy problems,@PROJECT accuracy problem
71,ageitgey/face_recognition,Calculating-Accuracy-as-a-Percentage.md,calculating accuracy as a percentage,calculate accuracy as a percentage
72,ageitgey/face_recognition,Common-Errors.md,common errors,common error
73,ageitgey/face_recognition,How-do-I-save-face-encodings-to-a-file?.md,how do i save face encodings to a file,how do i save face encode to a file
74,jekyll/jekyll,How-Jekyll-works.md,how jekyll works,how @PROJECT work
75,jekyll/jekyll,Sites.md,sites,sit
76,scrapy/scrapy,Scrapy-release-procedure.md,scrapy release procedure,@PROJECT release procedure
77,scrapy/scrapy,Home.md,home,home
78,scrapy/scrapy,Asyncio-use-cases.md,asyncio use cases,asyncio use case
79,prometheus/prometheus,Default-port-allocations.md,default port allocations,default port allocation
