,owner,project,file,page,abstracted,classification
0,vuejs,vue,Contributor-Code-of-Conduct.md,contributor code of conduct,contributor code of conduct,Who
1,vuejs,vue,Governance-Document.md,governance document,governance document,References
2,TheAlgorithms,Python,Sorting-Algorithms.md,sorting algorithms,sort algorithm,References
3,awesome-selfhosted,awesome-selfhosted,Labels.md,labels,label,References
4,denoland,deno,Home.md,home,home,What
5,nvbn,thefuck,Shell-aliases.md,shell aliases,shell alias,How
6,nvbn,thefuck,Troubleshooting.md,troubleshooting,troubleshoot,How
7,papers-we-love,papers-we-love,Organizer-resources.md,organizer resources,organizer resource,Other
8,papers-we-love,papers-we-love,Past-Presentations.md,past presentations,past presentation,Other
9,hakimel,reveal.js,Example-Presentations.md,example presentations,example presentation,References
10,hakimel,reveal.js,Articles-&-Tutorials.md,articles tutorials,article tutorial,How
11,hakimel,reveal.js,"Plugins,-Tools-and-Hardware.md",plugins tools and hardware,plugins tool and hardware,References
12,keras-team,keras,Keras-2.0-release-notes.md,keras 20 release notes,@PROJECT @NUMBER release note,When
13,keras-team,keras,Understanding-parallelism-in-Keras.md,understanding parallelism in keras,understand parallelism in @PROJECT,References
14,keras-team,keras,Converting-convolution-kernels-from-Theano-to-TensorFlow-and-vice-versa.md,converting convolution kernels from theano to tensor flow and vice versa,convert convolution kernel from theano to tensor flow and vice versa,How
15,protocolbuffers,protobuf,Home.md,home,home,What
16,h5bp,html5-boilerplate,history.md,history,history,What
17,apache,echarts,How-to-make-a-pull-request.md,how to make a pull request,how to make a pull request,Contribuition
18,apache,echarts,How-to-setup-the-dev-environment.md,how to setup the dev environment,how to setup the dev environment,How
19,Semantic-Org,Semantic-UI,Unofficial-Supplemental-Guide-to-Semantic-UI.md,unofficial supplemental guide to semantic ui,unofficial supplemental guide to @PROJECT,How
20,Semantic-Org,Semantic-UI,Showcase.md,showcase,showcase,References
21,Semantic-Org,Semantic-UI,Translating-Semantic-UI-Docs.md,translating semantic ui docs,translate @PROJECT doc,Contribuition
22,psf,requests,Cookbook.md,cookbook,cookbook,How
23,3b1b,manim,Anatomy-of-manim.md,anatomy of manim,anatomy of @PROJECT,References
24,3b1b,manim,Install-on-Linux-Fedora-29.md,install on linux fedora 29,install on linux fedora @NUMBER,How
25,3b1b,manim,Parameters-for-exporting.md,parameters for exporting,parameter for export,References
26,scrapy,scrapy,Scrapy-release-procedure.md,scrapy release procedure,@PROJECT release procedure,Contribuition
27,scrapy,scrapy,Home.md,home,home,What
28,scrapy,scrapy,Asyncio-use-cases.md,asyncio use cases,asyncio use case,References
29,prometheus,prometheus,Default-port-allocations.md,default port allocations,default port allocation,References
30,prometheus,prometheus,Label-Names-and-Descriptions.md,label names and descriptions,label name and description,References
31,prometheus,prometheus,DCO-signing.md,dco signing,dco sign,How
32,prettier,prettier,Release-Checklist.md,release checklist,release checklist,Contribuition
33,prettier,prettier,Issue-Labels.md,issue labels,issue label,Contribuition
34,prettier,prettier,Common-Replies.md,common replies,common reply,References
35,caddyserver,caddy,Verifying-Archive-Signatures.md,verifying archive signatures,verify archive signature,How
36,caddyserver,caddy,Publishing-a-Plugin-to-the-Download-Page.md,publishing a plugin to the download page,publish a plugin to the download page,Contribuition
37,android,architecture-samples,To-do-app-specification.md,to do app specification,to do app specification,References
38,nuxt,nuxt.js,Dependencies.md,dependencies,dependency,References
39,nuxt,nuxt.js,Pinned-Dependencies.md,pinned dependencies,pin dependency,References
40,nuxt,nuxt.js,Issue-Triaging-Guide.md,issue triaging guide,issue triaging guide,Contribuition
41,nuxt,nuxt.js,Packages.md,packages,package,References
42,alacritty,alacritty,Color-schemes.md,color schemes,color scheme,References
43,alacritty,alacritty,Keyboard-mappings.md,keyboard mappings,keyboard mapping,References
44,astaxie,build-web-application-with-golang,Automated-test-and-generate-RESTful-API-documentation-through-rest-client.md,automated test and generate restful api documentation through rest client,automate test and generate restful api documentation through rest client,How
45,square,retrofit,Converters.md,converters,converter,References
46,square,retrofit,Tutorials.md,tutorials,tutorial,How
47,square,retrofit,Call-Adapters.md,call adapters,call adapter,References
48,tldr-pages,tldr,Season-of-Docs-projects.md,season of docs projects,season of doc project,References
49,tldr-pages,tldr,Coding-projects.md,coding projects,cod project,References
50,tldr-pages,tldr,Home.md,home,home,What
51,tldr-pages,tldr,Minimum-specifications-for-tldr-pages-command-line-clients.md,minimum specifications for tldr pages command line clients,minimum specification for @PROJECT page command line client,References
52,tldr-pages,tldr,Useful-scripts-and-programs.md,useful scripts and programs,useful script and program,References
53,tldr-pages,tldr,tldr-pages-clients.md,tldr pages clients,@PROJECT page client,References
